index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2020,Kak   BACA DM KU DONG PLIS PLIS PLIS PLIS PLIS PLISš??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸š??¸,kak baca dm ku plis plis plis plis plis plis lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan,"['kak', 'baca', 'dm', 'ku', 'plis', 'plis', 'plis', 'plis', 'plis', 'plis', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",netral,86
2,2024,"alhamdulillah mamiyaa terimakasih udah jadi manusia yg amatt baikkā¯¤ļø¸ allah titipin mamiya rezekii untuk berbagi dan mamiya lakuin ituu dengan tuluss masyaallahhā¯¤ļø¸ sehat selalu yaa mamiyaa & keluarga , untuk bibuu dan adik luliii sehat selaluu anak gemess , bahagia selaluu , semoga selalu bersama orang orang baik kaya mamiyaaā¯¤ļø¸ā¯¤ļø¸ untuk kaka lulaa tenang di syurgaa allah swt yaa kakk udah jadi bidadarii yg indah disana masyaallahh aminnš?¤¨ lovee uuu mamiyaaa sayangg bangett bahagiaa dan lancar teruss rezekinyaa yaaaaa aminn yaallah aminnā¯¤ļø¸ā¯¤ļø¸   SALAM SAYANG BUAT BIBU DAN LULIII MAMIYAA HEHEHEā¯¤ļø¸ā¯¤ļø¸ā¯¤ļø¸  ",alhamdulillah mamiya terimakasih manusia hati merah allah titipin mamiya rezeki bagi mamiya tulus masyaallah hati merah sehat ya mamiya keluarga bibu adik luli sehat anak gemas bahagia moga orang orang kayak mamiya hati merah hati merah kakak lula tenang syurga allah swt ya kak bidadari indah sana masyaallah amin hati putih love lu mamiya sayang banget bahagia lancar rezeki ya amin yaallah amin hati merah hati merah salam sayang bibu luli mamiya hehehe hati merah hati merah hati merah,"['alhamdulillah', 'mamiya', 'terimakasih', 'manusia', 'hati', 'merah', 'allah', 'titipin', 'mamiya', 'rezeki', 'bagi', 'mamiya', 'tulus', 'masyaallah', 'hati', 'merah', 'sehat', 'ya', 'mamiya', 'keluarga', 'bibu', 'adik', 'luli', 'sehat', 'anak', 'gemas', 'bahagia', 'moga', 'orang', 'orang', 'kayak', 'mamiya', 'hati', 'merah', 'hati', 'merah', 'kakak', 'lula', 'tenang', 'syurga', 'allah', 'swt', 'ya', 'kak', 'bidadari', 'indah', 'sana', 'masyaallah', 'amin', 'hati', 'putih', 'love', 'lu', 'mamiya', 'sayang', 'banget', 'bahagia', 'lancar', 'rezeki', 'ya', 'amin', 'yaallah', 'amin', 'hati', 'merah', 'hati', 'merah', 'salam', 'sayang', 'bibu', 'luli', 'mamiya', 'hehehe', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah']",positif,55
3,2023,"Jadi ingat anakku februari 2023 kemarin diambil kembali sama Allah š?�¹ Allah yg ngasih Allah juga yg ngambil, kita manusia ini tidak punya apa-apa. Semua titipan Allah SWT, jalan hidup manusia Allah sdh atur sesuai kemampuan Hambanya dan tidak membedaā?¯kan. Allah Maha Tau jalan yg kita hadapi. Semoga kaka tetap menjalani hidup dengan semangat, ayo bangkit, semua pasti berlalu. Ikhlaskan dan semua Ada Hikmahnya. Anak kita jadi Tabungan di Syurga Aamiin YRAā¯¤ļø¸",anak februari kemarin ambil allah allah asih allah ngambil manusia apaapa titip allah swt jalan hidup manusia allah atur sesuai mampu hamba beda allah maha tau jalan hadap moga kakak jalan hidup semangat ayo bangkit ikhlas hikmah anak tabung syurga amin yra hati merah,"['anak', 'februari', 'kemarin', 'ambil', 'allah', 'allah', 'asih', 'allah', 'ngambil', 'manusia', 'apaapa', 'titip', 'allah', 'swt', 'jalan', 'hidup', 'manusia', 'allah', 'atur', 'sesuai', 'mampu', 'hamba', 'beda', 'allah', 'maha', 'tau', 'jalan', 'hadap', 'moga', 'kakak', 'jalan', 'hidup', 'semangat', 'ayo', 'bangkit', 'ikhlas', 'hikmah', 'anak', 'tabung', 'syurga', 'amin', 'yra', 'hati', 'merah']",netral,48
4,2023,"Ka   kamu orang kamu orang hebat makannya allah titipin bibu ke kamu karna kamu bisa lewatin ini semua ka, kamu harus sabar harus ikhlas bibu anak baik anak sehat anak sholehhh . Allah pasti punya rencana buat kamu untuk kedepannya makin sukses karier kamu makin nambah rezeki kamuuuuu. Smngt ka   semua orang sayang kamu , kamu orang baikkkkk. Aku jg sering liat kamu di tiktok kamu baik bangettt kagum bngt aku sm kamuuuu, sukses trs yah ka aminnnn camille makin sukses makin laris manisssssš??¨š??¨š??¨š??¨ā¯¤ļø¸",kak orang orang hebat makan allah titipin bibu lewatin kak sabar ikhlas bibu anak anak sehat anak sholeh allah rencana depan sukses karier tambah rezeki smngt kak orang sayang orang lihat tiktok banget kagum banget sukses ya kak amin camille sukses laris manis wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati hati merah,"['kak', 'orang', 'orang', 'hebat', 'makan', 'allah', 'titipin', 'bibu', 'lewatin', 'kak', 'sabar', 'ikhlas', 'bibu', 'anak', 'anak', 'sehat', 'anak', 'sholeh', 'allah', 'rencana', 'depan', 'sukses', 'karier', 'tambah', 'rezeki', 'smngt', 'kak', 'orang', 'sayang', 'orang', 'lihat', 'tiktok', 'banget', 'kagum', 'banget', 'sukses', 'ya', 'kak', 'amin', 'camille', 'sukses', 'laris', 'manis', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'hati', 'merah']",positif,40
5,2023,"MasyaAllah tabarakallah, beruntung bgt sih nad dikaruniakan Anak sama Allah yg lucu2 spertu bibu dan luli iri deh aku liatnyaa huhuhu kadang senyum2 sndiri liat bibu main sangking gemasnya bibu. Semoga ya allah aku thun depan dikaruniakan anak yg soleh dan soleha sama Allah Aamiinš?¤² #pejuanggarisdua",masyaallah tabarakallah untung banget sih nad karunia anak allah luculucu spertu bibu luli iri deh lihat huhuhu kadang senyum lihat bibu main sangking gemas bibu moga ya allah karunia anak soleh soleha allah amin tangan angkat dan rapat sama,"['masyaallah', 'tabarakallah', 'untung', 'banget', 'sih', 'nad', 'karunia', 'anak', 'allah', 'luculucu', 'spertu', 'bibu', 'luli', 'iri', 'deh', 'lihat', 'huhuhu', 'kadang', 'senyum', 'lihat', 'bibu', 'main', 'sangking', 'gemas', 'bibu', 'moga', 'ya', 'allah', 'karunia', 'anak', 'soleh', 'soleha', 'allah', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,37
6,2023,"masyaallah tabarakallah kak   Allah itu baikkk bangett !! dia percaya dan yakin bahwa kak nadia adalah seorang ibu yg kuat maka dia berikan cobaan ini untuk awal kehidupan dengan status baru sebagai seorang ibu ,,, Percayalah ,,diluar sana banyak yg jauh lebih berat dari ini cobaannya tapi KARENA KEKUATAN dan DOA yg selalu mereka langitkan Allah senantiasa segera memberikan mukjizatnya š???ā¯¤ļø¸ semangat ya kak!!! doain aku juga semoga tahun ini bisa punya rejeki lebih krn sudah 3thn merantau belum bisa pulang untuk ketemu anak istri terutama menyaksikan tumbuh kembang anakku yg sekarang usianya sudah 4thn š?¤²",masyaallah tabarakallah kak allah banget percaya kak nadia kuat coba hidup status percaya luar berat coba kuat doa langit allah senantiasa mukjizat angkat tangan hati merah semangat ya kak doain moga rejeki thn rantau pulang ketemu anak istri saksi tumbuh kembang anak usia thn tangan angkat dan rapat sama,"['masyaallah', 'tabarakallah', 'kak', 'allah', 'banget', 'percaya', 'kak', 'nadia', 'kuat', 'coba', 'hidup', 'status', 'percaya', 'luar', 'berat', 'coba', 'kuat', 'doa', 'langit', 'allah', 'senantiasa', 'mukjizat', 'angkat', 'tangan', 'hati', 'merah', 'semangat', 'ya', 'kak', 'doain', 'moga', 'rejeki', 'thn', 'rantau', 'pulang', 'ketemu', 'anak', 'istri', 'saksi', 'tumbuh', 'kembang', 'anak', 'usia', 'thn', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,37
7,2020,semangat buat nadia n mama semoga cepat selesai allah segera kasih jalan keluar yg terbaik... mama ka nadia baik banget semoga di permudah semua urusannya š?¤²š?¤²,semangat nadia n mama moga cepat selesai allah kasih jalan baik mama kak nadia banget moga mudah urus tangan angkat dan rapat sama tangan angkat dan rapat sama,"['semangat', 'nadia', 'n', 'mama', 'moga', 'cepat', 'selesai', 'allah', 'kasih', 'jalan', 'baik', 'mama', 'kak', 'nadia', 'banget', 'moga', 'mudah', 'urus', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,36
8,2022,Alhamdulillah KA NAD dh 8bln semoga ibu n anaknya sehat lancar dlm persalinan ibu nnanaknya selamat Amin ya Allah š?¤²š?¤²š?¤²š??¸š??¸š??¸,alhamdulillah kak nad dah bln moga n anak sehat lancar salin nnanaknya selamat amin ya allah tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama lipat tangan lipat tangan lipat tangan,"['alhamdulillah', 'kak', 'nad', 'dah', 'bln', 'moga', 'n', 'anak', 'sehat', 'lancar', 'salin', 'nnanaknya', 'selamat', 'amin', 'ya', 'allah', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,36
9,2023,"Masya allah mau normal atau secar semua ibu didunia hebat ā¯¤ļø¸ā¯¤ļø¸ alfatihah buat para ibu ibu semoga allah angkat derajat, sehat, berkah allah permudah segala urusan amiiiiinn",masya allah normal secar dunia hebat hati merah hati merah alfatihah moga allah angkat derajat sehat berkah allah mudah urus amin,"['masya', 'allah', 'normal', 'secar', 'dunia', 'hebat', 'hati', 'merah', 'hati', 'merah', 'alfatihah', 'moga', 'allah', 'angkat', 'derajat', 'sehat', 'berkah', 'allah', 'mudah', 'urus', 'amin']",positif,36
10,2024,Ya Allah smga banyak orang berkecukupan dan mau berbagai seperti mamiya. Titipkan rezeki ke beliau yg banyak berkah krn ga akan di keep sendiri ya Allah. Smga ku jg bs seperti mamiya pasti impian semua nya. Berkecukupan dan bisa berbagi ke sesama yg membutuhkan membahagiakan org lain jd berkah ngalir terus rezekinya š?¤²š?¤²š?¤²š?¤² sehat selalu mamiyaaaa btw I LOVE YOU BINGIT MAMIYA SI SUARA DAN MUKA IMUTš??¤š???ā¯¤,ya allah moga orang cukup mamiya titip rezeki beliau berkah keep ya allah moga ku mamiya impi nya cukup bagi butuh bahagia orang berkah alir rezeki tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama sehat mamiya btw i love you banget mamiya sih suara muka imut hati hitam hati hijau,"['ya', 'allah', 'moga', 'orang', 'cukup', 'mamiya', 'titip', 'rezeki', 'beliau', 'berkah', 'keep', 'ya', 'allah', 'moga', 'ku', 'mamiya', 'impi', 'nya', 'cukup', 'bagi', 'butuh', 'bahagia', 'orang', 'berkah', 'alir', 'rezeki', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'sehat', 'mamiya', 'btw', 'i', 'love', 'you', 'banget', 'mamiya', 'sih', 'suara', 'muka', 'imut', 'hati', 'hitam', 'hati', 'hijau']",positif,36
