Index,Tahun,Comments,preprocessed,tokenize_text,label,score
3,2021,"Saya suka kamu @siscakohl karena hasil karya senimu ,, Pantas saja harga nya mahal , karena harga sebuah SENI itu adalah tak terbatas nominal ,,, jadi wajar aja setiap konten masakan mu harga nya mahal sebanding dengan karya seni kreatif mu yg diluar nalar manusia normal dan hanya kmu yang berani mencoba nyaa,,. Calooon sukses dan Pamooor nya makin tinggi di dunia sosmed ini,, ????????????????????",suka hasil karya seni harga nya mahal harga seni batas nominal wajar konten masakan mu harga nya mahal banding karya seni kreatif mu luar nalar manusia normal berani coba nya caloon sukses pamoor nya dunia sosmed tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan api api api api api,"['suka', 'hasil', 'karya', 'seni', 'harga', 'nya', 'mahal', 'harga', 'seni', 'batas', 'nominal', 'wajar', 'konten', 'masakan', 'mu', 'harga', 'nya', 'mahal', 'banding', 'karya', 'seni', 'kreatif', 'mu', 'luar', 'nalar', 'manusia', 'normal', 'berani', 'coba', 'nya', 'caloon', 'sukses', 'pamoor', 'nya', 'dunia', 'sosmed', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'api', 'api', 'api', 'api', 'api']",positif,37
5,2021,"Syukuri aja nikmat Allah, insyaallah Allah akan memberi kita nikmat yang banyak????",syukur nikmat allah insyaallah allah nikmat wajah senyum dengan mata bahagia tangan angkat dan rapat sama,"['syukur', 'nikmat', 'allah', 'insyaallah', 'allah', 'nikmat', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,30
7,2022,Alhamdulillah ada 1 kesamaan sama sisca. Makan mie pake nasi ???????? beda nya dia biar gak kepedesan lah gua biar kenyang ??,alhamdulillah sama sisca makan mie pakai nasi tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak beda nya biar kepedesan gua biar kenyang wajah menang keras,"['alhamdulillah', 'sama', 'sisca', 'makan', 'mie', 'pakai', 'nasi', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'beda', 'nya', 'biar', 'kepedesan', 'gua', 'biar', 'kenyang', 'wajah', 'menang', 'keras']",positif,30
9,2022,Ngakak pas bagian ??elibettt????????????,akak pas belibet tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['akak', 'pas', 'belibet', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,28
10,2023,Akhirnya ada produk yang bisa samaan dengan sisca ??????????,produk sama sisca tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak wajah senyum dengan hati,"['produk', 'sama', 'sisca', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'wajah', 'senyum', 'dengan', 'hati']",positif,27
23,2024,Dede sop kayanya ga make produk murah ya? Soalnya kecium bgt bau duitnya??????????,adek sop kaya pakai produk murah ya cium banget bau duit wajah memelas tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['adek', 'sop', 'kaya', 'pakai', 'produk', 'murah', 'ya', 'cium', 'banget', 'bau', 'duit', 'wajah', 'memelas', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,20
25,2023,??????bismillah smoga d jmpt KK bsa ke Jakarta krna mw main tangkap uang si gems KK ini. ??,tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama bismillah moga jmpt jakarta main tangkap uang sih gems wajah agak senyum,"['tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'bismillah', 'moga', 'jmpt', 'jakarta', 'main', 'tangkap', 'uang', 'sih', 'gems', 'wajah', 'agak', 'senyum']",netral,18
26,2024,Itu kimcinya memang enakk??selalu happy lihat pasangan ini semoga berbahagia selalu amin aminn??,kimcinya enak wajah senyum lebar mata hati happy lihat pasang moga bahagia amin amin api,"['kimcinya', 'enak', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'happy', 'lihat', 'pasang', 'moga', 'bahagia', 'amin', 'amin', 'api']",positif,18
27,2022,"Semoga langgeng sampai kakek nenek ya,????????, semoga bahagia selalu ??",moga langgeng kakek nenek ya lipat tangan lipat tangan lipat tangan lipat tangan moga bahagia lipat tangan,"['moga', 'langgeng', 'kakek', 'nenek', 'ya', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'moga', 'bahagia', 'lipat', 'tangan']",positif,17
28,2024,Mohon maaf lahir batin ???? masyaallah berkah dan sehat selalu buat kak siska sekeluarga????????,mohon maaf lahir batin lipat tangan warna kulit cerah masyaallah berkah sehat kak siska keluarga tangan angkat dan rapat sama warna kulit cerah lipat tangan warna kulit cerah,"['mohon', 'maaf', 'lahir', 'batin', 'lipat', 'tangan', 'warna', 'kulit', 'cerah', 'masyaallah', 'berkah', 'sehat', 'kak', 'siska', 'keluarga', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'warna', 'kulit', 'cerah', 'lipat', 'tangan', 'warna', 'kulit', 'cerah']",positif,17
